"Hood_ID","assault","auto.theft","break.and.enter","robbery","theft.over","drug.arrests","total.crime","population.2016","total.area","density","lone.parent.families.perc","avg.income","people.ei.per","median.income","low.income.pop.perc","low.income.pop.perc.18.to.64","non.citizens.perc","immigrants.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","unsuitable.housing.perc","hhlds.mjr.rprs.perc","unaffordable.housing.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","unemployment.rate.males","youth.perc","male.youth.perc","low.income.perc","middle.income.perc","high.income.perc"
"64",0.00462483055577705,0.000398692289291125,0.0035084921457619,0.000398692289291125,0.00015947691571645,0.0006379076628658,0.00972809185870345,12541,1.6,7838.125,27.0363951473137,34418,7.33778047301395,27301.1566037736,18.6,17.2,11.3954611298889,48.0212355212355,6.03281853281853,8.78525975876152,51.7857142857143,43.8802083333333,97.1391417425228,14.0625,6.89206762028609,30.859375,22.4641833810888,30.6590257879656,46.8194842406877,10.9,10.4,8.33266884618451,4.22613826648593,43.3777210748744,19.2967068016905,3.46862291683279
"65",0.0045779288340154,0.000693625580911424,0.00388430325310397,0.000554900464729139,0.000416175348546854,0.000971075813275994,0.0110980092945828,14417,1.7,8480.58823529412,28.8205980066445,34059,8.21147356580427,26582.9715302491,22.8,20.3,12.16550483472,49.5392222971454,4.67520791189031,8.20372201744134,45.9860580166404,43.3149171270718,86.6372170071784,14.4119271120928,9.99447818884594,35.2323008849558,30.3976514544969,29.196690685882,40.4590338937817,9.2,8.6,9.05181383089408,4.75133522924325,83.2350697093709,34.7853228827079,5.37559825206354
"66",0.00982826401820815,0.00103455410717981,0.00600041382164287,0.00279329608938547,0.000931098696461825,0.00206910821435961,0.0226567349472377,9666,1.1,8787.27272727273,16.7119565217391,50580,6.24743115495273,33076.6153846154,19.9,18.2,9.11230665770007,29.546218487395,3.42857142857143,5.37598504073728,25.5211835911231,56.3451776649746,91.6485112563544,9.36139332365747,12.0551924473493,37.718023255814,14.3255073617191,21.6872264226025,64.1464385196976,6.7,7.1,9.46617008069522,4.55203807159114,70.6083178150217,34.9679288226774,19.8117111524933
"67",0.00884161968221425,0.00102511532547412,0.00525371604305484,0.00153767298821117,0.000512557662737058,0.000768836494105587,0.017939518195797,7804,0.9,8671.11111111111,10.9601449275362,207903,2.77697425513451,61994.4813829787,10.2,11.9,9.31360659713801,26.661814653081,3.63901018922853,1.14706304067294,18.1465308102863,44.6046742913973,69.6517412935323,4.77374440576827,5.4726368159204,30.7192807192807,5.80555555555556,15.9444444444444,78.2777777777778,6,5.4,9.29010763710918,4.74115838031779,80.0230650948232,62.019477191184,79.8308559712968
"68",0.00285330647868412,0.000335683115139308,0.00218194024840551,0.00176233635448137,0.000335683115139308,0.000503524672708963,0.00797247398455858,11916,1.8,6620,19.1993781577925,39556,6.79124250453214,29665.3412271259,9.5,8.4,7.97785737544774,55.5133492511396,3.46212285652268,10.9471782518926,81.01389491967,16.4675130694548,90.5188503172826,11.0197982816586,3.32337565347274,29.2227204783259,17.2590163934426,30.7934426229508,51.9213114754098,8.2,8.1,9.81873111782477,5.2450486740517,185.129237999329,91.0960053709298,25.5538771399799
"69",0.00660023294939821,0.000258832664682283,0.00181182865277598,0.00103533065872913,0.000129416332341141,0.0015529959880937,0.0113886372460204,7727,0.9,8585.55555555555,13.4948096885813,71888,6.02331606217617,51095.1285714286,6.9,7,5.21609538002981,23.1876861966236,1.68818272095333,2.03574975173784,15.888778550149,21.3630406290957,99.475753604194,2.87958115183246,6.27450980392157,21.0732984293194,11.9700748129676,17.2693266832918,70.6359102244389,5.1,5.5,11.453345412191,5.88844312152194,41.8014753461887,30.9305034295328,26.8538889607869
"70",0.00599081647295164,0.00086095566078347,0.00502224135457024,0.000609843593054958,0.000717463050652891,0.00157841871143636,0.0147797388434496,27876,9.6,2903.75,30.4247990815155,32913,6.77896466721446,22770.3414948454,32.4,29,15.9768715763847,54.6090660176453,9.88743535138424,10.972255441282,73.4327449786975,54.5991561181435,72.5738396624473,22.2784810126582,12.8270042194093,41.5189873417722,22.6003824091778,28.9483747609943,48.3747609942639,13,12.8,8.78892237049792,4.50208064284689,31.8374228727221,9.88305352274358,2.06270627062706
"71",0.00874110892107293,0.000771274316565258,0.00471334304567658,0.00145685148684549,0.000428485731425144,0.0023995200959808,0.0185105835975662,11669,1.4,8335,25.2222222222222,35207,7.043429844098,25954.265625,30.5,28.5,15.0774443368829,43.1856693294602,8.20624546114742,12.5635040505286,48.0271120793997,86.6110623353819,86.5671641791045,15.891132572432,10.9306409130816,49.2307692307692,16.4110842076944,24.3206887274684,59.2951304815712,8.6,9,8.82680606735796,4.28485731425144,105.536035650013,40.1919616076785,8.44116890907533
"72",0.00962695547533093,0.000462834397852448,0.00240673886883273,0.00185133759140979,0.000277700638711469,0.00111080255484588,0.0157363695269832,10803,0.6,18005,19.1988950276243,53803,6.61764705882353,35841.6617647059,18.7,16.8,8.52283231650952,30.362426035503,2.9585798816568,4.19715884631941,41.5048992420041,40.0828157349896,80.3807947019868,6.00165562913907,7.69230769230769,31.1564059900166,17.4946004319654,20.8207343412527,61.6846652267819,6.5,6.7,16.4306211237619,8.23845228177358,110.848838285661,57.4377487734888,39.0169397389614
"73",0.0175070711011411,0.000829025651028967,0.00619330927533405,0.0049741539061738,0.000585194577196918,0.00848532136935531,0.0385740758802302,20506,1.4,14647.1428571429,17.0731707317073,100516,2.74068868587491,42015.1045918367,15.9,16.7,14.7907239819005,49.98585572843,7.92079207920792,3.03166404671008,50.5799151343706,33.2814930015552,81.7262830482115,6.84292379471229,4.82115085536547,33.879781420765,9.57446808510638,20.844414893617,69.5811170212766,8.3,8,9.97269091973081,5.04730322832342,33.7462206183556,18.1654150004877,17.5070711011411
"74",0.0075208165457964,0.00085952189094816,0.0032232070910556,0.00112812248186946,0.00069836153639538,0.00150416330915928,0.0149341928552243,18615,0.4,46537.5,18.75,31786,5.51142005958292,20877.7091222031,21,19.2,20.4779563246807,71.8730682052339,7.45930352359365,8.22401819437112,90.9746548526685,16.1125319693095,63.3568225496477,12.1405750798722,4.21994884910486,37.3239436619718,23.5502958579882,29.5147928994083,46.9585798816568,9.5,8.4,12.1676067687349,6.28525382755842,78.8074133763094,23.1265108783239,5.82863282299221
