"Hood_ID","Assault","Auto.Theft","Break.and.Enter","Robbery","Theft.Over","population.2016","lone.parent.families.perc","avg.income","low.income.pop.perc","non.citizens.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","youth.perc"
"55",0.0175762743983324,0.00180026530225507,0.00506916808792875,0.0022740193291643,0.00170551449687322,21108,17.211,28875,45.5,26.991,18.623,12.412,79.132,88.912,84.081,20.958,26.337,52.706,12.6,11.654
"56",0.009270263845971,0.00178274304730212,0.00820061801758973,0.00225814119324935,0.00130734490135488,16828,13.268,125564,6.9,5.017,2.133,1.099,17.644,27.972,92.857,8.418,17.583,73.924,6.9,12.895
"57",0.0125228280720063,0.00130446125750065,0.00539177319766936,0.00173928167666754,0.000347856335333507,11499,21.939,44557,22.6,12.362,6.002,7.001,27.67,68.049,90.468,16.861,23.241,59.949,8.2,9.088
"58",0.0313007689808296,0.00238275750027077,0.0100725657965992,0.00444059352323189,0.00140799306834182,9233,18.835,53315,13.5,6.352,3.471,3.466,26.819,34.828,99.472,17.324,24.952,57.789,5,9.964
"59",0.0112922002328289,0.00174621653084983,0.00570430733410943,0.00139697322467986,0.000291036088474971,17180,17.32,51846,13.6,6.325,2.4,2.561,29.801,29.324,97.721,17.787,21.665,60.548,6.9,8.382
"60",0.0242848061029879,0.00152574698029243,0.0122059758423395,0.00432294977749523,0.00152574698029243,7865,19.545,47710,15.2,6.238,1.656,2.988,31.019,31.739,97.681,15.172,26.308,58.595,6.6,8.519
"61",0.0240387680928394,0.00223171587068801,0.0099470764522094,0.00554740802142447,0.000637633105910859,15683,21.921,30430,32.9,23.636,16.145,7.652,66.871,67.225,77.352,16.201,24.461,59.377,11.5,10.744
"62",0.034750479397596,0.00397549225948272,0.0159019690379309,0.0068284925868762,0.00163696740096347,21381,21.385,54324,18.8,9.519,4.783,2.993,30.819,45.643,95.588,13.241,22.637,64.094,8.2,10.36
"63",0.0160893958362313,0.00213288820883758,0.00792878008067881,0.00421940928270042,0.00106644410441879,21567,15.093,92580,9.4,5.502,1.842,0.835,13.896,37.54,87.811,8.255,19.404,72.34,5.7,9.691
"64",0.0241607527310422,0.0019137229885974,0.0101267841479946,0.00326927677218723,0.00079738457858225,12541,19.679,55199,15.8,6.237,2.132,1.555,27.181,41.705,94.225,14.144,20.425,65.48,7.7,8.333
